Timestamp,Day_ID,Simulation_Date,Ambient_Temperature,Humidity,Soil_Moisture,Light_Intensity,Fan_Status,Pump_Status,Servo_Angle,Weather_State,Outdoor_Temperature,Outdoor_Humidity,Solar_Radiation_W_m2,Wind_Speed_m_s,Control_Mode,Episode_ID,Parameter_Set_ID,Physics_Model_Version,Airflow_m3_s,Soil_Dry_Loss_pct_5min,SolarGain_Scale,TemperatureExchange_Scale,FanExchange_Scale,HumidityResponse_Scale,PumpSoil_Scale,Drying_Scale
2024-01-01 00:00:00,1,2024-01-01,27.58,71.7,70.68,0.23,0,0,0,Hot_Sunny,26.033,74.794,0.0,1.398,controller,1,1,greenhouse-greybox-v1.0,0.019791,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:05:00,1,2024-01-01,27.59,71.7,69.68,0.74,0,0,0,Hot_Sunny,26.009,74.782,0.0,1.235,controller,1,1,greenhouse-greybox-v1.0,0.019058,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:10:00,1,2024-01-01,27.24,71.41,69.72,0.04,0,0,0,Hot_Sunny,26.035,75.253,0.0,1.369,controller,1,1,greenhouse-greybox-v1.0,0.01966,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:15:00,1,2024-01-01,27.53,72.05,69.69,0.18,0,0,0,Hot_Sunny,25.747,75.258,0.0,1.354,controller,1,1,greenhouse-greybox-v1.0,0.019591,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:20:00,1,2024-01-01,27.36,71.82,69.95,0.3,0,0,0,Hot_Sunny,25.774,75.69,0.0,1.351,controller,1,1,greenhouse-greybox-v1.0,0.01958,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:25:00,1,2024-01-01,27.48,71.91,69.91,0.47,0,0,0,Hot_Sunny,25.7,75.82,0.0,1.278,controller,1,1,greenhouse-greybox-v1.0,0.01925,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:30:00,1,2024-01-01,27.31,72.29,69.46,1.14,0,0,0,Hot_Sunny,25.643,75.428,0.0,1.382,controller,1,1,greenhouse-greybox-v1.0,0.019719,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:35:00,1,2024-01-01,27.23,71.21,69.53,0.13,0,0,0,Hot_Sunny,25.817,75.293,0.0,1.386,controller,1,1,greenhouse-greybox-v1.0,0.019738,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:40:00,1,2024-01-01,27.42,71.98,70.02,0.0,0,0,0,Hot_Sunny,25.591,76.074,0.0,1.36,controller,1,1,greenhouse-greybox-v1.0,0.019622,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:45:00,1,2024-01-01,27.3,72.12,70.15,2.88,0,0,0,Hot_Sunny,25.719,76.041,0.0,1.158,controller,1,1,greenhouse-greybox-v1.0,0.018709,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:50:00,1,2024-01-01,27.26,71.67,68.98,0.0,0,1,0,Hot_Sunny,25.539,76.075,0.0,1.261,excitation_pump,1,1,greenhouse-greybox-v1.0,0.019173,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 00:55:00,1,2024-01-01,27.05,71.57,71.93,0.0,0,1,0,Hot_Sunny,25.686,76.139,0.0,1.192,excitation_pump,1,1,greenhouse-greybox-v1.0,0.018864,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:00:00,1,2024-01-01,27.27,71.71,72.58,0.0,0,1,0,Hot_Sunny,25.541,76.387,0.0,1.256,excitation_pump,1,1,greenhouse-greybox-v1.0,0.01915,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:05:00,1,2024-01-01,27.12,72.63,74.95,1.78,0,1,0,Hot_Sunny,25.557,76.939,0.0,1.36,excitation_pump,1,1,greenhouse-greybox-v1.0,0.019622,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:10:00,1,2024-01-01,27.38,71.75,76.24,1.06,0,1,0,Hot_Sunny,25.675,76.493,0.0,1.288,excitation_pump,1,1,greenhouse-greybox-v1.0,0.019296,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:15:00,1,2024-01-01,27.12,71.98,77.91,0.0,0,0,0,Hot_Sunny,25.62,76.654,0.0,1.411,controller,1,1,greenhouse-greybox-v1.0,0.019851,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:20:00,1,2024-01-01,27.29,72.4,78.01,0.37,0,0,0,Hot_Sunny,25.41,76.567,0.0,1.454,controller,1,1,greenhouse-greybox-v1.0,0.020045,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:25:00,1,2024-01-01,27.02,71.94,77.97,0.8,0,0,0,Hot_Sunny,25.463,77.616,0.0,1.559,controller,1,1,greenhouse-greybox-v1.0,0.020517,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:30:00,1,2024-01-01,27.25,72.48,77.5,0.0,0,0,0,Hot_Sunny,25.408,76.409,0.0,1.271,controller,1,1,greenhouse-greybox-v1.0,0.019218,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:35:00,1,2024-01-01,27.37,72.04,77.95,1.17,0,0,0,Hot_Sunny,25.701,76.409,0.0,1.29,controller,1,1,greenhouse-greybox-v1.0,0.019305,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:40:00,1,2024-01-01,27.18,72.84,78.04,0.83,0,0,0,Hot_Sunny,25.376,76.758,0.0,1.362,controller,1,1,greenhouse-greybox-v1.0,0.019629,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:45:00,1,2024-01-01,26.96,72.04,78.33,0.76,0,0,0,Hot_Sunny,25.381,77.608,0.0,1.523,controller,1,1,greenhouse-greybox-v1.0,0.020353,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:50:00,1,2024-01-01,27.02,72.33,77.81,0.67,0,0,0,Hot_Sunny,25.274,76.728,0.0,1.366,controller,1,1,greenhouse-greybox-v1.0,0.019646,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 01:55:00,1,2024-01-01,27.34,71.55,78.15,0.29,0,0,0,Hot_Sunny,25.411,76.774,0.0,1.123,controller,1,1,greenhouse-greybox-v1.0,0.018555,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:00:00,1,2024-01-01,27.31,72.29,78.08,0.31,0,0,0,Hot_Sunny,25.438,77.514,0.0,1.475,controller,1,1,greenhouse-greybox-v1.0,0.020139,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:05:00,1,2024-01-01,27.3,72.4,77.22,0.5,0,0,0,Hot_Sunny,25.459,76.837,0.0,1.475,controller,1,1,greenhouse-greybox-v1.0,0.020136,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:10:00,1,2024-01-01,26.87,72.23,78.18,1.04,0,0,0,Hot_Sunny,25.315,76.539,0.0,1.338,controller,1,1,greenhouse-greybox-v1.0,0.019521,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:15:00,1,2024-01-01,26.63,72.78,77.86,1.23,0,0,0,Hot_Sunny,25.553,76.154,0.0,1.263,controller,1,1,greenhouse-greybox-v1.0,0.019184,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:20:00,1,2024-01-01,26.81,72.47,78.07,0.0,0,0,0,Hot_Sunny,25.423,76.946,0.0,1.23,controller,1,1,greenhouse-greybox-v1.0,0.019037,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:25:00,1,2024-01-01,26.94,72.85,77.84,2.41,0,0,0,Hot_Sunny,25.431,77.115,0.0,1.335,controller,1,1,greenhouse-greybox-v1.0,0.01951,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:30:00,1,2024-01-01,26.54,72.05,77.8,0.97,0,0,0,Hot_Sunny,25.435,77.239,0.0,1.142,controller,1,1,greenhouse-greybox-v1.0,0.018638,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:35:00,1,2024-01-01,26.67,72.33,77.8,0.73,0,0,0,Hot_Sunny,25.393,76.895,0.0,1.418,controller,1,1,greenhouse-greybox-v1.0,0.019882,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:40:00,1,2024-01-01,26.89,71.46,77.03,0.0,1,0,0,Hot_Sunny,25.541,76.544,0.0,1.397,excitation_fan,1,1,greenhouse-greybox-v1.0,0.319785,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:45:00,1,2024-01-01,26.58,73.05,77.49,0.0,1,0,0,Hot_Sunny,25.5,77.003,0.0,1.493,excitation_fan,1,1,greenhouse-greybox-v1.0,0.32022,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:50:00,1,2024-01-01,26.33,72.88,77.34,0.0,0,0,0,Hot_Sunny,25.583,77.158,0.0,1.168,controller,1,1,greenhouse-greybox-v1.0,0.018757,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 02:55:00,1,2024-01-01,26.55,73.21,77.21,0.0,0,0,0,Hot_Sunny,25.463,76.632,0.0,1.311,controller,1,1,greenhouse-greybox-v1.0,0.019401,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:00:00,1,2024-01-01,26.52,72.76,77.69,0.0,0,0,0,Hot_Sunny,25.544,76.523,0.0,1.568,controller,1,1,greenhouse-greybox-v1.0,0.020557,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:05:00,1,2024-01-01,26.8,73.18,76.94,0.83,1,0,0,Hot_Sunny,25.428,75.589,0.0,1.2,excitation_fan,1,1,greenhouse-greybox-v1.0,0.3189,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:10:00,1,2024-01-01,26.41,73.96,77.32,1.7,1,0,0,Hot_Sunny,25.586,76.592,0.0,1.197,excitation_fan,1,1,greenhouse-greybox-v1.0,0.318887,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:15:00,1,2024-01-01,26.44,73.68,77.32,0.32,1,0,0,Hot_Sunny,25.578,76.27,0.0,1.232,excitation_fan,1,1,greenhouse-greybox-v1.0,0.319044,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:20:00,1,2024-01-01,26.43,73.15,76.65,0.0,0,0,0,Hot_Sunny,25.66,75.315,0.0,1.155,controller,1,1,greenhouse-greybox-v1.0,0.018696,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:25:00,1,2024-01-01,26.26,74.01,77.26,1.08,0,0,0,Hot_Sunny,25.779,75.351,0.0,1.298,controller,1,1,greenhouse-greybox-v1.0,0.019343,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:30:00,1,2024-01-01,26.17,74.39,77.19,0.76,0,0,0,Hot_Sunny,25.686,76.244,0.0,1.311,controller,1,1,greenhouse-greybox-v1.0,0.0194,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:35:00,1,2024-01-01,26.45,72.84,76.79,0.0,0,0,0,Hot_Sunny,25.865,75.101,0.0,1.411,controller,1,1,greenhouse-greybox-v1.0,0.019848,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:40:00,1,2024-01-01,26.35,73.99,77.21,0.79,0,0,0,Hot_Sunny,25.851,75.587,0.0,1.213,controller,1,1,greenhouse-greybox-v1.0,0.018959,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:45:00,1,2024-01-01,26.35,73.87,76.7,1.27,0,0,0,Hot_Sunny,25.812,74.94,0.0,1.227,controller,1,1,greenhouse-greybox-v1.0,0.019023,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:50:00,1,2024-01-01,26.18,73.92,76.39,1.62,0,0,0,Hot_Sunny,25.985,74.722,0.0,1.326,controller,1,1,greenhouse-greybox-v1.0,0.019467,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 03:55:00,1,2024-01-01,26.65,73.35,76.57,0.74,0,0,0,Hot_Sunny,25.904,74.974,0.0,1.205,controller,1,1,greenhouse-greybox-v1.0,0.018924,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:00:00,1,2024-01-01,26.51,73.81,76.2,0.96,0,0,0,Hot_Sunny,25.91,74.469,0.0,1.283,controller,1,1,greenhouse-greybox-v1.0,0.019275,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:05:00,1,2024-01-01,26.44,73.44,76.84,0.0,0,0,0,Hot_Sunny,26.187,75.019,0.0,1.388,controller,1,1,greenhouse-greybox-v1.0,0.019745,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:10:00,1,2024-01-01,26.38,73.89,76.46,0.93,0,0,0,Hot_Sunny,26.217,74.366,0.0,1.508,controller,1,1,greenhouse-greybox-v1.0,0.020287,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:15:00,1,2024-01-01,26.07,73.62,76.57,0.4,0,0,0,Hot_Sunny,26.014,74.968,0.0,1.64,controller,1,1,greenhouse-greybox-v1.0,0.02088,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:20:00,1,2024-01-01,26.3,74.07,76.04,0.68,0,0,0,Hot_Sunny,26.389,74.94,0.0,1.355,controller,1,1,greenhouse-greybox-v1.0,0.019596,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:25:00,1,2024-01-01,26.33,74.5,76.48,0.0,0,0,0,Hot_Sunny,26.275,74.238,0.0,1.372,controller,1,1,greenhouse-greybox-v1.0,0.019676,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
2024-01-01 04:30:00,1,2024-01-01,25.92,74.24,76.63,0.0,0,0,0,Hot_Sunny,26.282,73.272,0.0,1.392,controller,1,1,greenhouse-greybox-v1.0,0.019764,0.045707,1.06575,0.98166,1.08606,1.05921,0.91884,1.14269
